msxssr,unit_opt_loc,whsyjsf,tax_amt,sale_inco,comp_nm,tax_reg_no,org_no,uni_social_crd_cd,count_dt
,,,,,宁波市江北鹏弘汽车租赁有限公司,,66558699-0,91330205665586990Q,
,,,,,宁波温暖之家助农产业发展有限公司,,MAC6EXBL-2,91330205MAC6EXBL2T,
,,,,,宁波市江北麦雷顿斯贸易有限公司,,31692970-5,91330205316929705Y,
,,,,,宁波江北心野餐厅,,MABWF0T6-1,92330205MABWF0T614,
,,,,,宁波市江北慈城大光明眼镜店,,MA2832N6-5,92330205MA2832N650,
,,,,,宁波市江北新丰盛珠宝行,,MA2901EF-3,92330205MA2901EF3R,
,,,,,宁波江北怡情轩棋牌室,,MA2KPHFB-7,92330205MA2KPHFB77,
,,,,,宁波市普世达泳池用品有限公司,,67124373-2,91330205671243732A,
,,,,,宁波市江北慈城慈一饭店,,MA2ELW5B-7,92330205MA2ELW5B7R,
,,,,,宁波江北南日星召文艺创作工作室,,MABMBEG9-0,92330205MABMBEG90F,
,,,,,宁波恒耀商务服务有限公司,,MA7JYBJ0-3,91330205MA7JYBJ03T,
,,,,,宁波宗坤贸易有限公司,,MA8FW6E4-8,91330205MA8FW6E48J,
,,,,,宁波市江北慈城甘雨民间工艺坊,,MA291QBC-3,92330205MA291QBC3K,
,,,,,宁波甬徽电子有限公司,,MA2J3K8E-4,91330205MA2J3K8E4D,
,,,,,宁波利腾商贸有限公司,,MA2CL3A3-2,91330205MA2CL3A32P,
,,,,,宁波火焰商务咨询有限公司,,MACNUTET-9,91330205MACNUTET90,
,,,,,宁波市江北区诗碧曼化妆品店,,MAC0W0AM-7,92330205MAC0W0AM7X,
,,,,,宁波亿辰建筑设计有限公司,,MA293HUF-5,91330205MA293HUF5P,
,,,,,宁波巴依企业管理咨询有限公司,,MA2CKRM6-3,91330205MA2CKRM63K,
,,,,,宁波江北米墨设计工作室,,MACY21LJ-2,92330205MACY21LJ2F,
,,,,,宁波恒奕文化发展有限公司,,MA2AJWEP-4,91330211MA2AJWEP4Y,
,,,,,宁波市奉化溪口老宋照相馆,,MA2KN2CA-8,92330283MA2KN2CA83,
,,,,,宁波恒睿文化产业有限公司,,MA281CBF-9,91330283MA281CBF92,
,,,,,宁波奉化欣茂企业管理服务部,,MA2H5W12-3,92330283MA2H5W1230,
,,,,,奉化市虎啸刘网吧（普通合伙）,,69506695-3,91330283695066953N,
,,,,,宁波市奉化区闻静静家纺店,,MA2CJUK4-7,92330283MA2CJUK475,
,,,,,宁波奉化莼湖袁记快餐店,,MA2CM2DM-X,92330283MA2CM2DMXB,
,,,,,宁波奉化区小小装饰画店,,MA2CHQ3F-7,92330283MA2CHQ3F78,
,,,,,大爱书院香河酒店有限公司宁波分公司,,MA2H6L0D-2,91330283MA2H6L0D2K,
,,,,,宁波市翔鸿未来文化用品有限公司,,MA2818ET-1,91330283MA2818ET1Q,
,,,,,宁波奉化远阳汽车服务有限公司,,MA2AEFLM-0,91330283MA2AEFLM0Y,
,,,,,宁波葛军辉餐饮管理有限公司,,MABNBULR-4,91330283MABNBULR4M,
,,,,,宁波高辉贸易有限公司,,MA7C87XJ-9,91330283MA7C87XJ9N,
,,,,,宁波市奉化区雪窦山公共交通服务有限公司,,30892099-7,913302833089209972,
,,,,,奉化市阳光文具制造有限公司,,MA2GG2UC-7,91330283MA2GG2UC74,
,,,,,宁波奉化星光盛殿娱乐会所（普通合伙）,,MA2AGF6D-2,91330283MA2AGF6D2W,
,,,,,奉化市阿杰汽车服务有限公司,,MA2812U9-3,91330283MA2812U93U,
,,,,,宁波老故事酒店管理有限公司,,MACTDBXR-7,91330283MACTDBXR7E,
,,,,,宁波市奉化区浓墨重彩广告经营部,,MA2ERU9M-X,92330283MA2ERU9MXD,
,,,,,宁波碧海珍源餐饮有限公司,,MACDY5A6-2,91330283MACDY5A626,
,,,,,宁波万舸电子商务有限公司,,MA2J7639-5,91330283MA2J76395Y,
,,,,,宁波盛峰广告传媒有限公司,,MA7FFP7R-9,91330283MA7FFP7R9J,
,,,,,宁波旷观文化传播有限公司,,MA2J6DWU-5,91330283MA2J6DWU5A,
,,,,,宁波奉化伟越企业管理服务部,,MABXQD92-8,92330283MABXQD928A,
,,,,,宁波市奉化区岳林亚珠土菜馆,,MA29236X-6,92330283MA29236X61,
,,,,,宁波奉化日尧暮摄影工作室（个体工商户）,,MAD4CA8P-2,92330283MAD4CA8P21,
,,,,,奉化市泉溪书画社,,MA2ER68W-X,92330283MA2ER68WX7,
,,,,,宁波华昌泰户外用品有限公司,,75626936-8,913302837562693689,
,,,,,宁波江氧设备租赁有限公司,,MA281QLL-X,91330283MA281QLLXY,
,,,,,宁波市朴宿怡澜民宿有限公司,,MA2CHE9M-X,91330283MA2CHE9MXF,
,,,,,宁波市奉化区徐飞云烤鱼店,,MA291B1A-2,92330283MA291B1A2N,
,,,,,奉化市王永华餐厅,,MA2ERPJA-1,92330283MA2ERPJA1H,
,,,,,宁波奉化富璟火锅店,,MA2AHNPL-6,92330283MA2AHNPL68,
,,,,,宁波奉化三横聚客园饭店,,MA2J3QGP-1,92330283MA2J3QGP1T,
,,,,,宁波市奉化区宝鑫珠宝首饰店,,MA2KP2Y8-2,92330283MA2KP2Y82C,
,,,,,宁波奉化富翔工艺品厂,,MA281TCC-7,91330283MA281TCC7K,
,,,,,宁波市奉化区赵君化妆品店,,MA2GRUAG-9,92330283MA2GRUAG95,
,,,,,上海生椰出马餐饮管理有限公司,,MABMNEF1-4,91310113MABMNEF14B,
,,,,,宁波沐风堂艺术传媒有限公司,,MA2KNX5Y-4,91330283MA2KNX5Y4R,
,,,,,宁波市奉化区啊芬餐饮店,,MA293TDN-5,92330283MA293TDN5C,
,,,,,宁波辰友珠宝有限公司,,MA7N6JDT-5,91330283MA7N6JDT5H,
,,,,,宁波市奉化溪口金港湾浴场,,MA2AFMMK-5,92330283MA2AFMMK52,
,,,,,宁波雪窦山演艺经纪有限公司,,MA2H6F9P-1,91330283MA2H6F9P1R,
,,,,,宁波奉化万达古茗奶茶店,,MA2GQXJ9-1,92330283MA2GQXJ919,
,,,,,宁波市奉化区林红餐饮店,,MA2AJEHD-6,92330283MA2AJEHD6W,
,,,,,宁波以沫文化传媒有限公司第五分公司,,MA2KPJRH-8,91330283MA2KPJRH8J,
,,,,,奉化市晶都汽车租赁有限公司,,58395116-5,913302835839511652,
,,,,,宁波斌华二手车经纪有限公司,,MA2GQD8A-5,91330283MA2GQD8A5D,
,,,,,宁波市奉化区阳辰广告装饰部,,MA290HXE-X,92330283MA290HXEX1,
,,,,,宁波市奉化区万福来打金店,,MA2AF3GM-1,92330283MA2AF3GM19,
,,,,,宁波奉化星动溜溜轮滑店,,MA2J3RA8-7,92330283MA2J3RA873,
,,,,,爱意文化传媒（宁波）有限公司,,MAC4J5M1-8,91330211MAC4J5M18L,
,,,,,宁波简丹空间设计有限公司,,MACUABDG-4,91330211MACUABDG43,
,,,,,宁波市镇海区骆驼和美家纺店,,MA2EQE1D-6,92330211MA2EQE1D6H,
,,,,,宁波众爱贸易有限公司,,MA2KNU68-X,91330211MA2KNU68XE,
,,,,,宁波俞诚文化传媒有限公司,,MA2J6NHQ-4,91330211MA2J6NHQ4D,
,,,,,宁波市镇海区骆驼吴继西棋牌室,,MACT73ER-1,92330211MACT73ER12,
,,,,,宁波大头郭文化传媒有限公司,,MAD2Q0Q3-4,91330211MAD2Q0Q34N,
,,,,,宁波市镇海区骆驼赣川相饭店,,MA2835XE-2,92330211MA2835XE22,
,,,,,宁波驿泊停车管理有限公司,,MA2CMD7B-1,91330201MA2CMD7B12,
,,,,,宁波市镇海区招宝山一品奶茶店,,MA2EQHPE-5,92330211MA2EQHPE52,
,,,,,宁波市镇海区骆驼加勒比海盗餐厅,,MA2AEFHW-7,92330211MA2AEFHW7E,
,,,,,宁波市镇海区骆驼温新化妆品商行,,MA2CH6BP-5,92330211MA2CH6BP5C,
,,,,,宁波光耀文化传媒有限公司,,30890262-5,913302113089026259,
,,,,,宁波镇海北杏企业管理工作室,,MA2J7J7Q-5,92330211MA2J7J7Q5F,
,,,,,宁波市劲达体育发展有限公司,,MA2AHMC9-2,91330211MA2AHMC92L,
,,,,,宁波地平线装潢设计有限公司,,31680152-5,91330211316801525F,
,,,,,宁波镇海荣幸餐饮服务部,,MACWQ438-5,92330211MACWQ4385E,
,,,,,宁波卓战酒店管理有限公司,,MACPDK3F-9,91330211MACPDK3F9F,
,,,,,宁波市镇海区招宝山约饭快餐店,,MA2AFUUF-7,92330211MA2AFUUF78,
,,,,,宁波锺亿摄影器材有限公司,,MA2J6K3H-3,91330211MA2J6K3H3X,
,,,,,宁波市镇海区庄市吐司奶吧饮品店,,MA2EQLA5-7,92330211MA2EQLA57T,
,,,,,宁波宇惠通贸易有限公司,,MA2827GD-6,91330211MA2827GD6D,
,,,,,宁波悦邦汽车贸易有限公司,,MA2AHRLP-4,91330211MA2AHRLP4K,
,,,,,宁波市镇海区澥浦许家餐馆,,MA2AJ0RX-5,92330211MA2AJ0RX59,
,,,,,宁波市镇海区骆驼百兴家电商店,,L3649642-6,91330211L36496426H,
,,,,,宁波泓扬电子商务有限公司,,MA2J6L63-0,91330211MA2J6L630E,
,,,,,宁波市镇海区招宝山任雪窗帘店,,MA2GQ9EJ-6,92330211MA2GQ9EJ6H,
,,,,,宁波凯华展览有限公司,,09983262-3,91330211099832623E,
,,,,,宁波苏合文化传媒有限公司,,MA2J5C7K-6,91330211MA2J5C7K6M,
,,,,,宁波市镇海区骆驼赤宵川菜馆,,MA2KP0H3-8,92330211MA2KP0H388,
,,,,,宁波镇海沃锡君挖掘机租赁部,,MA2J4P6L-8,92330211MA2J4P6L8U,
,,,,,宁波中耕稻盛文化发展有限公司,,MA2H6Y85-3,91330211MA2H6Y853T,
,,,,,宁波启通教育科技有限公司,,31691404-4,913302113169140442,
,,,,,宁波市镇海区骆驼四方打字店,,MA2EQKEY-7,92330211MA2EQKEY74,
,,,,,宁波祥昶商贸有限公司,,MA7CD7E3-4,91330211MA7CD7E340,
,,,,,宁波市镇海龙豪塑品厂,,MA2GFXJ7-5,91330211MA2GFXJ75P,
,,,,,宁波市镇海区骆驼星诺儿童乐园,,MACLP0TG-X,92330211MACLP0TGXA,
,,,,,宁波市镇海区九龙湖芳华里广告创意工作室,,MA2KP15A-1,92330211MA2KP15A1W,
,,,,,宁波猛士文化传媒有限公司,,MA2813RX-3,91330211MA2813RX33,
,,,,,宁波阿特艺术特长培训有限公司,,MA2GWKTB-9,91330211MA2GWKTB92,
,,,,,宁波市镇海杰岳网吧有限公司,,MA2GWFCY-5,91330211MA2GWFCY5W,
,,,,,宁波市镇海区小米艺术特长培训有限公司,,MA2CJMHR-4,91330211MA2CJMHR4L,
,,,,,宁波市镇海区九龙湖面前山农家乐店,,MA2EQKQB-5,92330211MA2EQKQB53,
,,,,,宁波花涧谷尚文化传媒有限公司,,MACLX8AX-3,91330211MACLX8AX3P,
,,,,,宁波市镇海区贝乐艺术特长培训有限公司,,MA2CJHTM-6,91330211MA2CJHTM6W,
,,,,,浙江晨熠数字科技有限公司,,MACH9YL7-7,91330211MACH9YL77J,
,,,,,宁波市镇海区庄市青林咖啡店,,MA7FPMLK-7,92330211MA7FPMLK73,
,,,,,宁波锐意数码影像有限公司,,MA282T8E-3,91330211MA282T8E31,
,,,,,宁波市镇海区庄市陈术华饭店,,MA2EQET9-1,92330211MA2EQET91U,
,,,,,宁波市鄞州首南迈诺餐厅,,MA2CHYDM-X,92330212MA2CHYDMXU,
,,,,,宁波易媒文化传媒有限公司,,MA7MFXBU-7,91330205MA7MFXBU71,
,,,,,宁波梅山保税港区海根杨甫洲商务服务部,,MA2KNP1L-0,92330206MA2KNP1L0D,
,,,,,宁波海曙诗云足浴店,,MA2H5Y4A-3,92330203MA2H5Y4A3U,
,,,,,宁波磨古文化有限公司,,MA2H6HUL-8,91330205MA2H6HUL82,
